run_dir,model_name,branch,generation,metric,summary_value,recomputed_value,abs_diff,status,tolerance
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,anchor_20_append,0.0,silent_error_rate,0.16,0.16,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,anchor_20_append,1.0,sample_count,50.0,50.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,anchor_20_append,1.0,accuracy_mean,0.46,0.46,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,anchor_20_append,1.0,pedagogical_score_mean,4.92,4.92,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,anchor_20_append,1.0,silent_error_rate,0.2,0.2,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,anchor_20_append,2.0,sample_count,50.0,50.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,anchor_20_append,2.0,accuracy_mean,0.42,0.42,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,anchor_20_append,2.0,pedagogical_score_mean,4.36,4.36,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,anchor_20_append,2.0,silent_error_rate,0.32,0.32,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pure_recycling,0.0,sample_count,50.0,50.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pure_recycling,0.0,accuracy_mean,0.44,0.44,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pure_recycling,0.0,pedagogical_score_mean,4.7,4.7,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pure_recycling,0.0,silent_error_rate,0.22,0.22,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pure_recycling,1.0,sample_count,50.0,50.0,0.0,ok,1e-06
